
20200818171138 Downloading START...[https://www.youtube.com/watch?v=YOJsKatW-Ts]
2020-08-21:06-27-49 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-27-49 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-27-49 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:06-27-53 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-27-53 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-27-54 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:06-30-49 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-30-49 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-30-49 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:06-30-54 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-30-54 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-30-54 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:06-35-39 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-35-39 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-35-39 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:06-35-44 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:06-35-44 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:06-35-44 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-30-21 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-30-21 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-30-21 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-30-25 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-30-25 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-30-25 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-46-11 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-46-11 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-46-11 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-46-16 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-46-16 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-46-16 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-48-27 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-48-27 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-48-27 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-48-32 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-48-32 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-48-32 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-50-38 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-50-38 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-50-38 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-50-43 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-50-43 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-50-43 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-57-47 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-57-47 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-57-47 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:07-57-52 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:07-57-52 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:07-57-52 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:08-14-50 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:08-14-50 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:08-14-50 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:08-14-55 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:08-14-55 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:08-14-55 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:08-29-32 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:08-29-32 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:08-29-32 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:08-29-37 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:08-29-37 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:08-29-37 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:09-22-13 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:09-22-13 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:09-22-13 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:09-22-17 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:09-22-17 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:09-22-17 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:09-26-40 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:09-26-40 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:09-26-40 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:09-26-44 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:09-26-44 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:09-26-44 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:10-32-55 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:10-32-55 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:10-32-55 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:10-33-00 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:10-33-00 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:10-33-00 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:11-19-12 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:11-19-12 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:11-19-12 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:11-19-16 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:11-19-16 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:11-19-16 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:11-21-40 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:11-21-40 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:11-21-40 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-21:11-21-44 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-21:11-21-45 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-21:11-21-45 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
+++++++++++++++++++

2020-08-22:22-23-10 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-23-10 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-23-10 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-23-15 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-23-15 | downloading task with PID = #PID<0.158.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-23-15 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-23-15 | downloading task with PID = #PID<0.157.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-23-15 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-23-15 | downloading task with PID = #PID<0.159.0> terminated [trap_and_collect_exit_signal]
==========

2020-08-22:22-41-45 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-41-45 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-41-45 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-41-50 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-41-50 | downloading task with PID = #PID<0.179.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-41-50 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-41-50 | downloading task with PID = #PID<0.178.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-41-50 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-41-50 | downloading task with PID = #PID<0.180.0> terminated [trap_and_collect_exit_signal]
=====

2020-08-22:22-49-28 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-49-28 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-49-28 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-49-28 | concurrent downloading START...[https://www.youtube.com/watch?v=hF83JAmBdjY]
2020-08-22:22-49-33 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-49-33 | downloading task with PID = #PID<0.210.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-49-33 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-49-33 | downloading task with PID = #PID<0.209.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-49-33 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-49-33 | downloading task with PID = #PID<0.211.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-49-34 | concurrent downloading END...[https://www.youtube.com/watch?v=hF83JAmBdjY]
2020-08-22:22-49-34 | downloading task with PID = #PID<0.212.0> terminated [trap_and_collect_exit_signal]
====

2020-08-22:22-55-02 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-55-02 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-55-02 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-55-02 | concurrent downloading START...[https://www.youtube.com/watch?v=hF83JAmBdjY]
2020-08-22:22-55-06 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-55-06 | downloading task with PID = #PID<0.227.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-55-06 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-55-06 | downloading task with PID = #PID<0.226.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-55-07 | concurrent downloading END...[https://www.youtube.com/watch?v=hF83JAmBdjY]
2020-08-22:22-55-07 | downloading task with PID = #PID<0.229.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-55-07 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-55-07 | downloading task with PID = #PID<0.228.0> terminated [trap_and_collect_exit_signal]
====

2020-08-22:22-55-27 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-55-27 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-55-27 | concurrent downloading START...[https://www.youtube.com/watch?v=hF83JAmBdjY]
2020-08-22:22-55-27 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-55-42 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-22:22-55-42 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-22:22-55-42 | concurrent downloading END...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-22:22-55-42 | concurrent downloading END...[https://www.youtube.com/watch?v=hF83JAmBdjY]
2020-08-22:22-55-42 | downloading task with PID = #PID<0.244.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-55-42 | downloading task with PID = #PID<0.243.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-55-42 | downloading task with PID = #PID<0.245.0> terminated [trap_and_collect_exit_signal]
2020-08-22:22-55-42 | downloading task with PID = #PID<0.246.0> terminated [trap_and_collect_exit_signal]
2020-08-23:06-22-36 | concurrent downloading START...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-23:06-22-36 | concurrent downloading START...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-23:06-22-36 | concurrent downloading START...[https://www.youtube.com/watch?v=XZsFbB3lV1A]
2020-08-23:06-22-36 | concurrent downloading START...[https://www.youtube.com/watch?v=hF83JAmBdjY]
2020-08-23:06-22-41 | concurrent downloading END...[https://www.youtube.com/watch?v=tPEE9ZwTmy0]
2020-08-23:06-22-41 | downloading task with PID = #PID<0.183.0> terminated [trap_and_collect_exit_signal]
2020-08-23:06-22-41 | concurrent downloading END...[https://www.youtube.com/watch?v=7-qGKqveZaM]
2020-08-23:06-22-41 | downloading task with PID = #PID<0.182.0> terminated [trap_and_collect_exit_signal]
